phase,model,horizon,params,eval_window,first_logged_utc
3,har_cj,5,"{""min_train"": 252, ""refit_every"": 22}",2000-01-03..2018-12-31,2026-07-20T03:19:42+00:00
3,random_walk,1,"{""min_train"": 252, ""refit_every"": 22}",2000-01-03..2018-12-31,2026-07-20T03:19:42+00:00
3,expanding_mean,1,"{""min_train"": 252, ""refit_every"": 22}",2000-01-03..2018-12-31,2026-07-20T03:19:42+00:00
3,ewma_riskmetrics,1,"{""min_train"": 252, ""refit_every"": 22}",2000-01-03..2018-12-31,2026-07-20T03:19:42+00:00
3,vix,1,"{""min_train"": 252, ""refit_every"": 22}",2000-01-03..2018-12-31,2026-07-20T03:19:42+00:00
3,har,1,"{""min_train"": 252, ""refit_every"": 22}",2000-01-03..2018-12-31,2026-07-20T03:19:42+00:00
3,har_log,1,"{""min_train"": 252, ""refit_every"": 22}",2000-01-03..2018-12-31,2026-07-20T03:19:42+00:00
3,har_iv,1,"{""min_train"": 252, ""refit_every"": 22}",2000-01-03..2018-12-31,2026-07-20T03:19:42+00:00
3,har_log_iv,1,"{""min_train"": 252, ""refit_every"": 22}",2000-01-03..2018-12-31,2026-07-20T03:19:42+00:00
3,har_j,1,"{""min_train"": 252, ""refit_every"": 22}",2000-01-03..2018-12-31,2026-07-20T03:19:42+00:00
3,har_cj,1,"{""min_train"": 252, ""refit_every"": 22}",2000-01-03..2018-12-31,2026-07-20T03:19:42+00:00
